id;nom;prenom;mail;mdp;login;points
1;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;50881
2;withdrawal Ergonomic;Strategist target;Investor users dot-com;North Dakota Cambridgeshire;Re-contextualized;49919
3;Alaska;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;19091
4;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;70891
5;France protocol;open-source HDD;Sleek Beauty Auto Loan Account;deposit;extend Unbranded Fresh Pants Tools;57886
6;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;82786
7;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;content;74404
8;Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;51669
9;payment e-markets system;Organic;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;76336
10;online e-business;systems integrate;Web HTTP;implement;Optimization Cambridgeshire;53937
